~DMAxADDR,CPUxA0,CPUxA1,~CPUxWAIT,~BUSRQ,~CPUxBUSACK,~DMAxINTxPULSE1,~DMAxINTxPULSE2,~CSxIO,CPUxA3,,~FPxLATCH,~CExDMAxRDY,~DMAxCS1,~DMAxCS2,~BUSxEN,DATAxXFER,IOxSEL,~CSxMAP,~CSxUART
0,0,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,1,,1,1,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,1,0,,1,1,0,0,1,0,1,1,1
0,0,0,0,0,0,0,0,1,1,,1,1,0,0,1,0,1,1,1
0,0,0,0,0,0,0,1,0,0,,1,1,0,0,1,0,1,0,1
0,0,0,0,0,0,0,1,0,1,,1,1,0,0,1,0,1,1,0
0,0,0,0,0,0,0,1,1,0,,1,1,0,0,1,0,1,1,1
0,0,0,0,0,0,0,1,1,1,,1,1,0,0,1,0,1,1,1
0,0,0,0,0,0,1,0,0,0,,1,1,0,0,1,0,1,0,1
0,0,0,0,0,0,1,0,0,1,,1,1,0,0,1,0,1,1,0
0,0,0,0,0,0,1,0,1,0,,1,1,0,0,1,0,1,1,1
0,0,0,0,0,0,1,0,1,1,,1,1,0,0,1,0,1,1,1
0,0,0,0,0,0,1,1,0,0,,1,1,0,0,1,1,1,0,1
0,0,0,0,0,0,1,1,0,1,,1,1,0,0,1,1,1,1,0
0,0,0,0,0,0,1,1,1,0,,1,1,0,0,1,1,1,1,1
0,0,0,0,0,0,1,1,1,1,,1,1,0,0,1,1,1,1,1
0,0,0,0,0,1,0,0,0,0,,1,1,1,1,0,1,1,0,1
0,0,0,0,0,1,0,0,0,1,,1,1,1,1,0,1,1,1,0
0,0,0,0,0,1,0,0,1,0,,1,1,1,1,0,1,1,1,1
0,0,0,0,0,1,0,0,1,1,,1,1,1,1,0,1,1,1,1
0,0,0,0,0,1,0,1,0,0,,1,1,1,1,0,1,1,0,1
0,0,0,0,0,1,0,1,0,1,,1,1,1,1,0,1,1,1,0
0,0,0,0,0,1,0,1,1,0,,1,1,1,1,0,1,1,1,1
